anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Urusei Yatsura,7.01,2022,1,7,1981,7.73,https://myanimelist.net/anime/1293/Urusei_Yatsura
Doukyuusei,7.00,2022,1,7,2016,8.28,https://myanimelist.net/anime/30346/Doukyuusei_Movie
Kakushigoto,6.99,2021,1,5,2020,7.98,https://myanimelist.net/anime/40716/Kakushigoto_TV
Magi *,6.98,2022,0.5,3,2012,8.01,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
Genshiken,6.97,2022,1,8,2004,7.63,https://myanimelist.net/anime/240/Genshiken
Karakai Jouzu no Takagi-san,6.95,2022,1,4,2018,7.69,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
Dungeon ni Deai wo Motomeru no wa Machigateiru Darou ka *,6.95,2020,1,3,2015,7.54,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka
The Angel Next Door Spoils Me Rotten,6.93,2023,1,4,2023,7.82,https://myanimelist.net/anime/50739/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken
Lycoris Recoil,6.92,2022,1,5,2022,8.17,https://myanimelist.net/anime/50709/Lycoris_Recoil
Shadows House*,6.91,2021,1,5,2021,7.80,https://myanimelist.net/anime/43439/Shadows_House
Toilet-bound Hanako-kun,6.90,2022,1,4,2020,7.84,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun
Tokyo Ghoul *,6.88,2020,0.5,2,2014,7.79,https://myanimelist.net/anime/22319/Tokyo_Ghoul
Blue Lock,6.87,2022,2,2,2022,8.28,https://myanimelist.net/anime/49596/Blue_Lock
Food Wars,6.87,2019,1,3,2015,8.14,https://myanimelist.net/anime/28171/Shokugeki_no_Souma?q=food
Ouran High School Host Club,6.85,2022,1,5,2004,8.16,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club
Smile Down the Runway,6.84,2022,1,5,2020,7.56,https://myanimelist.net/anime/40392/Runway_de_Waratte
Goblin Slayer *,6.83,2020,1,4,2018,7.42,https://myanimelist.net/anime/37349/Goblin_Slayer
Mitsuboshi Colors,6.82,2023,1,6,2018,7.41,https://myanimelist.net/anime/35078/Mitsuboshi_Colors
Sing a Bit of Harmony,6.81,2022,1,4,2021,7.72,https://myanimelist.net/anime/42847/Ai_no_Utagoe_wo_Kikasete
Ao Ashi,6.80,2022,1,3,2022,8.19,https://myanimelist.net/anime/49052/Ao_Ashi
Tonikaku Kawaii,6.80,2020,1,4,2020,7.88,https://myanimelist.net/anime/41389/Tonikaku_Kawaii
Boarding School Juliet,6.79,2020,2,5,2018,7.45,https://myanimelist.net/anime/37475/Kishuku_Gakkou_no_Juliet
Tower of God,6.79,2020,1,3,2020,7.55,https://myanimelist.net/anime/40221/Kami_no_Tou?q=kami%20no%20tou
Eden of the East,6.77,2021,1,6,2009,7.75,https://myanimelist.net/anime/5630/Higashi_no_Eden
Paradise Kiss,6.76,2023,1,7,2005,7.86,https://myanimelist.net/anime/322/Paradise_Kiss'
High Score Girl,6.76,2020,1,6,2018,7.76,https://myanimelist.net/anime/21877/High_Score_Girl
Devilman: Crybaby,6.75,2020,1,7,2018,7.75,https://myanimelist.net/anime/35120/Devilman__Crybaby?q=crybaba
Servant x Service,6.74,2021,1,5,2013,7.62,https://myanimelist.net/anime/18119/Servant_x_Service
The Anthem of the Heart,6.72,2021,1,6,2015,7.81,https://myanimelist.net/anime/28725/Kokoro_ga_Sakebitagatterunda
Prison School,6.71,2021,1,4,2015,7.60,https://myanimelist.net/anime/30240/Prison_School
Gekkan Shoujo Nozaki-kun,6.70,2019,2,4,2014,7.83,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun
Kuragehime,6.68,2022,1,6,2010,8.11,https://myanimelist.net/anime/8129/Kuragehime
Kamisama Hajimemashita *,6.66,2019,0.5,5,2012,8.10,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita
Mashle,6.65,2023,1,4,2023,7.60,https://myanimelist.net/anime/52211/Mashle
Yamada-kun and the Seven Witches,6.64,2019,1,4,2015,7.54,https://myanimelist.net/anime/28677/Yamada-kun_to_7-nin_no_Majo_TV
Ao Haru Ride,6.63,2019,1,4,2014,7.64,https://myanimelist.net/anime/21995/Ao_Haru_Ride
Tsurezure Children,6.60,2020,1,4,2017,7.55,https://myanimelist.net/anime/34902/Tsurezure_Children
Paripi Koumei,6.58,2022,2,6,2022,8.15,https://myanimelist.net/anime/50380/Paripi_Koumei
Tamako Market,6.57,2020,1,5,2013,7.40,https://myanimelist.net/anime/16417/Tamako_Market
Deca-Dence,6.56,2020,1,6,2020,7.36,https://myanimelist.net/anime/40056/Deca-Dence
Classroom of the Elite,6.55,2020,1,3,2017,7.86,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV?q=clas
Orange ,6.54,2020,1,4,2016,7.62,https://myanimelist.net/anime/32729/Orange
Majo no Tabitabi,6.53,2020,1,5,2020,7.55,https://myanimelist.net/anime/40571/Majo_no_Tabitabi
Charlotte,6.52,2020,1,3,2015,7.75,https://myanimelist.net/anime/28999/Charlotte
Blue Exorcist,6.50,2019,1,2,2011,7.49,https://myanimelist.net/anime/9919/Ao_no_Exorcist
Chivalry of a Failed Knight,6.49,2020,1,4,2015,7.44,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry
Sabikui Bisco,6.46,2022,1,6,2022,7.16,https://myanimelist.net/anime/48414/Sabikui_Bisco
The Girl Who Leapt Through Time,6.45,2021,1,5,2006,8.10,https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo
Demi-chan wa Kataritai,6.45,2021,1,4,2017,7.53,https://myanimelist.net/anime/33988
Binbougami ga!,6.44,2022,1,6,2012,7.67,https://myanimelist.net/anime/13535/Binbougami_ga
Sakamoto Desu ga?,6.44,2022,1,4,2016,7.55,https://myanimelist.net/anime/32542/Sakamoto_Desu_ga
Akame ga Kill,6.44,2019,1,2,2014,7.47,https://myanimelist.net/anime/22199/Akame_ga_Kill
